tweet_id,mentions
1469115297030459393,825829081866436608
1469115297030459393,534249758
1469115194756325378,825829081866436608
1469115194756325378,534249758
1469115084039340034,2918212191
1469114895887048708,825829081866436608
1469114895887048708,534249758
1469114848000806912,148529707
1469114637773901829,825829081866436608
1469114637773901829,534249758
1469114630580625408,3010277400
1469114615120474114,813521133182078976
1469114596892065792,825829081866436608
1469114596892065792,534249758
1469113944858144775,534249758
1469113872472846341,62343633
1469113872472846341,393525670
1469113872472846341,327371108
1469113645602947074,122525311
1469113645602947074,534249758
1469113636794867714,3248744915
1469113311316918278,534249758
1469112874173964288,1045335723635871746
1469112873532203009,148529707
1469112611019145216,1361114486262931464
1469112611019145216,534249758
1469112402352300036,2918212191
1469112303551279112,1213960012755656704
1469112232285986819,825829081866436608
1469112232285986819,534249758
1469112006984847363,534249758
1469111814126546945,825829081866436608
1469111814126546945,534249758
1469111641975447555,153947448
1469111641975447555,534249758
1469111543505817604,534249758
1469111536199225344,71125621
1469111336483188741,825829081866436608
1469111336483188741,534249758
1469111262147657732,26890990
1469111262147657732,280557152
1469111163300585481,71125621
1469111096191721473,226680441
1469111096191721473,393525670
1469110998963396612,1417322074117484544
1469110998963396612,534249758
1469110965354602497,3248744915
1469110844575436801,825829081866436608
1469110844575436801,534249758
1469110808932012037,1152568187097100288
1469110790854782976,825829081866436608
1469110790854782976,534249758
1469110357734080517,534249758
1469110319893164035,825829081866436608
1469110319893164035,534249758
1469110272388317184,534249758
1469110208089710601,825829081866436608
1469110208089710601,534249758
1469110176267571203,863874384137682944
1469110010638749696,997620077599035392
1469110010638749696,534249758
1469109979223367681,122525311
1469109979223367681,962347650438774784
1469109979223367681,534249758
1469109923695022092,717065696451174400
1469109923695022092,534249758
1469109674364620803,385971106
1469109604634087424,997620077599035392
1469109604634087424,534249758
1469109592881836038,825829081866436608
1469109592881836038,534249758
1469109242506403841,825829081866436608
1469109242506403841,534249758
1469108979674468352,16434035
1469108979674468352,85583894
1469108979674468352,534249758
1469108578778849283,1225893066
1469108578778849283,393525670
1469108578778849283,1445454930467115009
1469108551444541440,534249758
1469108395508699140,1561796682
1469108395508699140,534249758
1469108354110959621,1375313690153656321
1469108343298007046,534249758
1469108261311987714,17384585
1469108183125868552,843491898614562824
1469108183125868552,534249758
1469107666891022338,1152568187097100288
1469107548548579330,14927297
1469107381988638720,215207998
1469107381988638720,534249758
1469107176883068934,1152568187097100288
1469107043541798912,886398296146706432
1469106875144839179,843491898614562824
1469106875144839179,534249758
1469106857709121544,1152568187097100288
1469106809403174913,284036006
1469106809403174913,148529707
1469106586341629953,1152568187097100288
1469106448009506820,1152568187097100288
1469106324634054657,534249758
1469106234926243844,717065696451174400
1469106234926243844,534249758
1469106198993465346,2918212191
1469106185836310528,717065696451174400
1469106185836310528,534249758
1469106088922521600,1152568187097100288
1469106048371933185,1152568187097100288
1469105998791163908,1152568187097100288
1469105356295053316,534249758
1469105234362482691,717065696451174400
1469105234362482691,534249758
